STATE,Top1,Top2,Top3,Top4,Top5
ANDHRA PRADESH,SPI_t-1,Precipitation_t-5,Precipitation_t-6,Precipitation_t-4,SPI_t-2
BIHAR,SPI_t-1,Precipitation_t-5,Precipitation_t-6,Precipitation_t-4,SPI_t-6
GUJARAT,SPI_t-1,Precipitation_t-6,Precipitation_t-5,Precipitation_t-4,SPI_t-2
KARNATAKA,SPI_t-1,Precipitation_t-5,Precipitation_t-6,Precipitation_t-4,SPI_t-2
MAHARASHTRA,SPI_t-1,Precipitation_t-5,Precipitation_t-6,Precipitation_t-4,SPI_t-2
